time/fps,train/reward,time/time_elapsed,time/total_timesteps,time/iterations,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/std,train/n_updates,train/loss,train/value_loss,train/clip_range,train/learning_rate
135,0.39338413,15,2048,1,,,,,,,,,,,
132,0.627274,30,4096,2,0.015474166,-0.031122970988508313,0.00804966688156128,0.19609375,-41.18802220821381,1.0018718242645264,10,6.904893398284912,14.784756672382354,0.2,0.00025
132,-1.6216046,46,6144,3,0.01650102,-0.02287042486714199,-0.0011248588562011719,0.230224609375,-41.20758047103882,1.002228021621704,20,23.808988571166992,69.54253171682358,0.2,0.00025
133,1.7701646,61,8192,4,0.019185849,-0.01921265147102531,0.002731502056121826,0.200634765625,-41.246375393867496,1.0047253370285034,30,11.892016410827637,43.6731791138649,0.2,0.00025
133,2.885772,76,10240,5,0.015407906,-0.019265495540457776,0.011436760425567627,0.181787109375,-41.296947383880614,1.0054585933685303,40,9.933379173278809,19.776941865682602,0.2,0.00025
133,2.447985,91,12288,6,0.015880257,-0.020881695330899674,-0.00012087821960449219,0.172412109375,-41.33400473594666,1.0072487592697144,50,28.5336971282959,51.507793468236926,0.2,0.00025
133,0.6537581,107,14336,7,0.02569322,-0.020220518170390278,-0.0012161731719970703,0.208984375,-41.37339100837708,1.008457064628601,60,12.640199661254883,41.908871591091156,0.2,0.00025
133,0.5387462,123,16384,8,0.020601247,-0.017778242101485375,-0.03391396999359131,0.20654296875,-41.41805806159973,1.0105206966400146,70,15.875774383544922,29.733182537555695,0.2,0.00025
133,0.5806635,138,18432,9,0.018270291,-0.022388979891547933,0.0067272186279296875,0.192138671875,-41.4682811498642,1.011813759803772,80,18.826059341430664,32.88234239220619,0.2,0.00025
133,0.43544334,153,20480,10,0.022037383,-0.015926865488290788,-0.009862542152404785,0.1943359375,-41.514716911315915,1.0136961936950684,90,43.19007873535156,54.992937970161435,0.2,0.00025
133,0.9639663,169,22528,11,0.025750838,-0.011257007363019511,-0.007361173629760742,0.22109375,-41.57170159816742,1.016384243965149,100,22.99628257751465,66.89109021425247,0.2,0.00025
133,-0.3170649,184,24576,12,0.02217257,-0.023170629268861376,-0.0037537813186645508,0.24345703125,-41.64814963340759,1.0185236930847168,110,8.144976615905762,16.836766904592515,0.2,0.00025
133,-0.38895556,199,26624,13,0.02433439,-0.01932036550133489,0.012621283531188965,0.19677734375,-41.72666621208191,1.0215222835540771,120,39.06696319580078,51.263952386379245,0.2,0.00025
133,-1.2240152,215,28672,14,0.020739516,-0.017216733656823635,0.018825888633728027,0.216552734375,-41.790023469924925,1.0232123136520386,130,12.950868606567383,35.709027361869815,0.2,0.00025
133,4.414375,230,30720,15,0.015805181,-0.01451228228979744,-0.009715795516967773,0.186572265625,-41.83131103515625,1.0246258974075317,140,14.660338401794434,34.45981729030609,0.2,0.00025
132,-0.073363446,246,32768,16,0.01583522,-0.013099963236891199,-0.004374146461486816,0.18037109375,-41.86603903770447,1.025568962097168,150,25.300201416015625,79.27399938106537,0.2,0.00025
132,1.020861,261,34816,17,0.023752533,-0.02011733889230527,-0.01043248176574707,0.20703125,-41.89413869380951,1.0266671180725098,160,29.843036651611328,66.5397519826889,0.2,0.00025
132,-0.107107155,277,36864,18,0.033520367,-0.010106150148203596,-0.015819549560546875,0.3033203125,-41.94307837486267,1.029019832611084,170,20.375011444091797,57.36048545837402,0.2,0.00025
132,-0.08733902,292,38912,19,0.023848372,-0.014065073524398031,0.08025491237640381,0.269091796875,-42.027378392219546,1.0325980186462402,180,4.810420989990234,8.38035100698471,0.2,0.00025
132,-0.47859153,308,40960,20,0.02314149,-0.016151713163708337,0.044600725173950195,0.24794921875,-42.0941468000412,1.0343458652496338,190,30.509628295898438,31.43238428235054,0.2,0.00025
132,-7.890103,324,43008,21,0.02922352,-0.011587249967851676,0.004368245601654053,0.3283203125,-42.15236961841583,1.0364567041397095,200,43.52406311035156,65.71757777929307,0.2,0.00025
132,1.9684911,340,45056,22,0.033524763,-0.016464179293689086,-0.02064645290374756,0.315087890625,-42.21568949222565,1.0385955572128296,210,13.79932975769043,23.37175608277321,0.2,0.00025
132,0.26479405,355,47104,23,0.02564977,-0.01901637222763384,0.020847678184509277,0.24541015625,-42.25791475772858,1.040144920349121,220,10.053560256958008,49.5194912314415,0.2,0.00025
132,8.547358,370,49152,24,0.020794027,-0.01404015809239354,-0.014470696449279785,0.20888671875,-42.28974921703339,1.040448784828186,230,56.12459945678711,74.60397090911866,0.2,0.00025
132,-1.2999961,386,51200,25,0.034978665,-0.013922705897130072,0.018157899379730225,0.277392578125,-42.30935111045837,1.0424481630325317,240,45.914058685302734,62.969587850570676,0.2,0.00025
